Company Symbol,Company Name,FDS Ticker Symbol,Sedol,Entity Country Incorp,MSCI Country,Curncy Iso,Value Traded,Market Value,,GICS Sub Ind Name,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales,Net Sales
BA,Boeing Company,BA-US,2108601,United States,United States,USD,1327808000,263447,1,Aerospace & Defense,86989,92149,100657,101127,98154,97317,95798,93392,91310,90899,92915,94571,94858,96809,96597,96114,97009,94944,92446,90762,90079,88425,88195,86623,85140,83018,81208,81698,78951
UTX,United Technologies Corporation,UTX-US,2915500,United States,United States,USD,323256200,164934.8,1,Aerospace & Defense,75589,72585,69639,66485,64086,62612,61193,59798,58834,58182,57816,57415,57094,56560,58017,59196,61863,64203,65031,65196,64921,64190,63007,62651,62327,61901,59695,57701,56226
LMT,Lockheed Martin Corporation,LMT-US,2522096,United States,United States,USD,281338700,143118,1,Aerospace & Defense,58345,57492,56463,53762,54488,52339,51626,51048,49663,49045,49274,49919,49084,48994,47723,46132,45745,45398,45061,45600,44603,44836,44938,45358,45924,46446,46959,47182,47294
UPS,"United Parcel Service, Inc. Class B",UPS-US,2517382,United States,United States,USD,243005600,133350.3,1,Air Freight & Logistics,73238,72426,71893,71911,70904,69438,67705,65840,63812,62679,61480,60502,59665,58990,58464,58050,57973,58106,58368,58258,57361,56592,55831,55491,55044,54543,54364,54064,53708
RTN,Raytheon Company,RTN-US,2758051,United States,United States,USD,236887500,79148.73,1,Aerospace & Defense,28694,28054,27520,27058,26481,25959,25615,25348,24803,24552,24306,24069,24159,23909,23722,23247,23062,22753,22606,22826,22553,22921,23335,23706,24275,24477,24356,24417,24419
NOC,Northrop Grumman Corporation,NOC-US,2648806,United States,United States,USD,215382500,76890.67,1,Aerospace & Defense,33276,32886,31549,30095,28573,27015,26271,25803,25566,25194,24819,24508,23805,23629,23525,23526,23940,23945,24088,23979,24028,24150,24405,24661,24980,25144,25124,25218,25248
DE,Deere & Company,DE-US,2261203,United States,United States,USD,227465900,68447.54,1,Agricultural & Farm Machinery,39281,38800.9,39067.2,38438.8,37358.7,35959.5,33363,30753,29463.7,27965.7,26901.3,26664.7,26564,26753.7,27696,27949.3,28806.9,31063.3,32973.8,34794,36066.9,36552.6,37062.3,38027.9,37795.3,38136.4,37716.9,36812,36157.1
GD,General Dynamics Corporation,GD-US,2365161,United States,United States,USD,161708900,68097.87,1,Aerospace & Defense,38955,38288,37919,36193,34092,32578,31067,30973,30929,31080,31070,31353,30929,31192,31409,31469,32022,31779,31371,30911,30656,30701,31138,31218,31189,31327,31338,31513,32582
LHX,L3Harris Technologies Inc,LHX-US,BK9DTN5,United States,United States,USD,158435900,57296.18,1,Aerospace & Defense,9690,6801,6602,6442,6311,6182,6058,5979,6144,6485,6847,7267,7410,7467,7097.9,6375.5,5738.8,5083.2,4877.7,4958.6,4975.5,5012,5042.2,4978.4,5042.1,5111.7,4831.1,5103.4,5262.9
FDX,FedEx Corporation,FDX-US,2142784,United States,United States,USD,278017300,52429.39,1,Air Freight & Logistics,69689,69693,69200,68716,67205,65450,63864,62335,60953,60319,57570,55227,52749,50365,49500,48562,48048,47453,47178,46763,46227,45567,45163,44815,44519,44287,43860,43471,42951
DAL,"Delta Air Lines, Inc.",DAL-US,B1W9D46,United States,United States,USD,244328200,47826.36,1,Airlines,46278,45703,44940,44432,43937,43043,42057,41234,40443,39868,39516,39602,39612,40165,40396,40506,40648,40741,40668,40204,39638,38942,38032,37638,37203,36699,36748,36695,36480
TDG,TransDigm Group Incorporated,TDG-US,B11FJK3,United States,United States,USD,105184500,39549.39,1,Aerospace & Defense,6392.894,5901.401,5224.336,3956.468,3811.126,3685.577,3612.582,3552.744,3518.802,3470.14,3360.165,3283.734,3171.411,3105.98,2999.683,2821.912,2707.115,2539.564,2458.751,2430.482,2372.906,2270.402,2148.456,2023.304,1924.4,1847.269,1820.293,1778.153,1700.208
LUV,Southwest Airlines Co.,LUV-US,2831543,United States,United States,USD,149195700,39134.8,1,Airlines,22401,22337,22170,21965,21535,21231,21233,21172,20974,20842,20482,20425,20326,20505,20232,19820,19471,18953,18853,18605,18405,18150,17782,17700,17445,17209,17182,17089,17024
ADM,Archer-Daniels-Midland Company,ADM-US,2047317,United States,United States,USD,99632460,31766.89,1,Agricultural Products,64260,63343,64082,64300,64426,63472,61370,60839,61300,62326,63035,62420,62353,63036,64588,67639,72057,73630,77985,81305,84564,87845,88789,89692,88147,87905,88689,88918,89194
UAL,"United Airlines Holdings, Inc.",UAL-US,B4QG225,United States,United States,USD,167619600,29898.95,1,Airlines,42862,42485,41860,41303,40250,39125,38348,37736,37350,37385,36781,36556,36540,36933,37451,37864,38141,38398,38813,38901,38917,38582,38254,38279,37652,37333,37271,37152,37378
HEI,HEICO Corporation,HEI-US,2419217,United States,United States,USD,37254050,22860.8,1,Aerospace & Defense,1991.002,1924.503,1839.457,1777.721,1722.061,1647.736,1585.791,1524.813,1466.888,1431.472,1413.463,1376.258,1341.631,1285.917,1226.69,1188.648,1152.199,1142.859,1133.67,1132.311,1127.514,1103.617,1059.093,1008.757,963.74,922.576,901.182,897.347,863.857
OMC,Omnicom Group Inc,OMC-US,2279303,United States,United States,USD,99871600,22689.88,1,Advertising,14899.2,14989.7,15129.5,15290.2,15380.1,15385.3,15315.8,15273.6,15338.8,15410.4,15505.2,15416.9,15328.4,15243.9,15164.3,15134.4,15176.2,15219.2,15284.8,15317.8,15180.8,14921.7,14687.8,14584.5,14471,14387.1,14311.1,14219.5,14127.8
TDY,Teledyne Technologies Incorporated,TDY-US,2503477,United States,United States,USD,38802710,16529.31,1,Aerospace & Defense,3078.7,3001.5,2951.4,2901.8,2857.8,2794.7,2733.3,2603.8,2452.3,2316.9,2180.7,2145.1,2192.2,2220.8,2263.6,2298.1,2320.4,2366.1,2385.5,2394,2368.3,2338.8,2342.7,2338.6,2309.4,2285.2,2202.7,2127.3,2034.4
EXPD,"Expeditors International of Washington, Inc.",EXPD-US,2325507,United States,United States,USD,54204370,16415.72,1,Air Freight & Logistics,8366.082,8382.174,8304.154,8138.365,7804.139,7515.358,7230.078,6920.948,6661.584,6421.812,6224.697,6098.037,6052.251,6141.189,6357.578,6616.632,6789.241,6843.014,6750.602,6564.721,6430.121,6260.105,6161.417,6080.257,5978.984,5975.559,5980.058,5980.943,5949.9
AAL,"American Airlines Group, Inc.",AAL-US,BCV7KT2,United States,United States,USD,154411100,15894.24,1,Airlines,45393,45041,44724,44541,44203,43522,42984,42207,41396,41112,40370,40181,40022,40134,40598,40990,41520,41953,42481,42649,39857,35546,30640,26743,25312,24913,24916,24855,24874
TXT,Textron Inc.,TXT-US,2885937,United States,United States,USD,56745630,13744.93,1,Aerospace & Defense,13345,13286,13785,13972,14239,14523,14401,14198,14006,13773,13680,13788,13886,13815,13551,13423,13596,13846,14104,13878,13288,12762,12096,12104,11960,12056,12236,12237,12129
CHRW,"C.H. Robinson Worldwide, Inc.",CHRW-US,2116228,United States,United States,USD,79472950,13670.04,1,Air Freight & Logistics,15654.09,16089.86,16457.05,16631.17,16453.05,15945.6,15379.58,14869.38,14324.57,13895.87,13485.59,13144.41,12940.29,13003.79,13249.14,13476.08,13622.43,13670.54,13628.37,13470.07,13265.75,13115.05,12900.39,12752.08,12570.07,12133.81,11801.27,11359.11,10956.52
HII,"Huntington Ingalls Industries, Inc.",HII-US,B40SSC9,United States,United States,USD,47859730,13552.37,1,Aerospace & Defense,8686,8550,8382,8176,7973,7753,7591,7441,7367,7187,7029,7068,7051,7168,7213,7020,7042,6959,6933,6957,6968,6888,6852,6820,6705,6664,6702,6708,6620
SPR,"Spirit AeroSystems Holdings, Inc. Class A",SPR-US,B1HMMS7,United States,United States,USD,55099840,11646.34,1,Aerospace & Defense,7739.1,7632.9,7453.7,7222,7101.3,7035.8,7025,6983,6838.4,6801.6,6805.4,6792.9,6832.3,6714.5,6583.3,6643.9,6608.9,6708.3,6812.9,6799.2,6719.2,6529.9,6247.3,5961,5892.2,5753.7,5574,5397.7,5191.2
IPG,"Interpublic Group of Companies, Inc.",IPG-US,2466321,United States,United States,USD,56850500,11485.54,1,Advertising,10175.5,10034.9,9906.5,9714.4,9199.4,8804.5,8297.6,7882.4,7805.9,7825.5,7858.5,7846.6,7778.3,7721.6,7679.8,7613.8,7624.7,7600.3,7575.6,7537.1,7452.7,7312,7216.8,7122.3,7062.9,7032.9,6992.4,6956.2,6965.5
TTC,Toro Company,TTC-US,2897040,United States,@NA,USD,20078750,10960.19,1,Agricultural & Farm Machinery,2934.574,2754.332,2672.291,2621.074,2572.097,2544.028,2537.507,2504.44,2483.497,2456.879,2421.259,2390.366,2402.817,2408.002,2392.798,2379.687,2313.008,2274.56,2199.592,2173.819,2141.406,2083.529,2043.463,2042.236,2006.114,1999.125,1984.063,1962.251,1986.424
ALK,"Alaska Air Group, Inc.",ALK-US,2012605,United States,United States,USD,54554040,10908.36,1,Airlines,8617,8440,8308,8264,8162,8070,8016,7933,7495,6941,6333,5931,5784,5733,5676,5598,5527,5477,5415,5368,5272,5172,5053,4964,4886.3,4793.5,4750.7,4657,4569
XPO,"XPO Logistics, Inc.",XPO-US,B6Z1355,United States,United States,USD,89758590,9814.944,1,Air Freight & Logistics,16901,17082.1,17207.6,17279.1,17084,16636,16032.8,15380.8,14863.5,14690.2,14613.2,14619.4,14285.1,12933.4,10466,7623.3,5111.718,3412.088,2777.197,2356.6,1783.114,1314.626,870.708,702.304,553.575,430.581,348.03,278.591,214.173
CW,Curtiss-Wright Corporation,CW-US,2241205,United States,@NA,USD,21125270,7721.812,1,Aerospace & Defense,2480.812,2461.325,2442.627,2411.835,2375.094,2347.602,2294.957,2271.026,2224.711,2163.902,2129.015,2108.931,2132.12,2150.563,2162.991,2205.683,2189.514,2223.473,2330.731,2425.944,2553.088,2594.261,2559.496,2510.771,2401.488,2280.043,2188.742,2097.716,2068.648
AGCO,AGCO Corporation,AGCO-US,2010278,United States,United States,USD,29123150,7685.403,1,Agricultural & Farm Machinery,9120,9225.3,9340.3,9352,9287.2,9058.8,8686.4,8306.5,7873.1,7648.4,7478.8,7410.5,7275.5,7250.3,7324,7467.3,7993.5,8411.9,9092.9,9723.7,10098.2,10419.3,10717.2,10786.9,10630.6,10449.7,10091.6,9962.2,9776.6
